# Latitude,Longitude
28.514468,76.971614
28.514468,76.971614
28.514468,76.971614
28.514468,76.971614
28.514468,76.971614
28.514468,76.971614
28.514474,76.971613
28.514474,76.971613
28.514473,76.971612
28.514473,76.971612
28.514471,76.971611
