index,index,lat,longi,x,y,z
0,1,28.5145181,76.9714895,0.13996410369873002,-0.01247501373291,-0.127223014831542
1,2,28.5145181,76.9714895,0.022968530654907,0.045480012893676,0.114396095275878
2,3,28.5145181,76.9714895,0.022968530654907,0.045480012893676,0.114396095275878
3,4,28.5145181,76.9714895,-0.10418891906738201,0.18572998046875,0.130192756652832
4,5,28.5145181,76.9714895,0.073729276657104,-0.001592397689819,0.022801399230957003
5,6,28.5145181,76.9714895,0.022845268249511,-0.11251223087310701,-0.11714839935302701
6,7,28.5145181,76.9714895,0.147281885147094,0.012837648391723001,0.06065940856933501
7,8,28.5145181,76.9714895,0.5955848693847651,0.317461609840393,0.158894538879394
8,9,28.5145181,76.9714895,0.21039104461669902,0.009767413139343002,-0.7789926528930661
9,10,28.5145181,76.9714895,0.475484371185302,-0.419515192508697,-0.809766769409179
10,11,28.5145181,76.9714895,-4.927567958831787,2.815220355987549,0.568377494812011
11,12,28.5145181,76.9714895,1.029765248298645,-0.473590612411499,-3.709145069122314
12,13,28.5145181,76.9714895,1.3224782943725581,0.745824337005615,-1.243300437927246
13,14,28.5145181,76.9714895,0.7869344949722291,-1.969923973083496,0.077217102050781
14,15,28.5145181,76.9714895,0.48669052124023404,0.860203266143798,-1.028347015380859
15,16,28.5145181,76.9714895,-0.42856132984161305,0.430662155151367,1.12423038482666
16,17,28.5145181,76.9714895,-0.838022947311401,-0.44200134277343706,-1.700033187866211
17,18,28.5145181,76.9714895,-0.838022947311401,-0.44200134277343706,-1.700033187866211
18,19,28.5145181,76.9714895,-0.08805859088897701,0.11908650398254302,-2.097153425216675
19,20,28.5145181,76.9714895,0.009089350700378,0.06937289237976,3.056239604949951
20,21,28.5145181,76.9714895,-0.648701190948486,-1.963948249816894,-3.015564918518066
21,22,28.5145181,76.9714895,-0.008319377899169,-2.158282995223999,2.509795188903808
22,23,28.5145181,76.9714895,1.9535770416259761,3.515867710113525,23.30795669555664
23,24,28.5145181,76.9714895,1.9535770416259761,3.515867710113525,23.30795669555664
24,25,28.5145181,76.9714895,-8.21585464477539,0.43147650361061,-16.21031379699707
25,26,28.5145181,76.9714895,3.612346887588501,-1.891461849212646,9.378643035888672
26,27,28.5145181,76.9714895,-2.6303272247314453,1.86018419265747,-16.366655349731445
27,28,28.5145181,76.9714895,-2.6303272247314453,1.86018419265747,-16.366655349731445
28,29,28.5145169,76.9714914,6.538640022277832,-1.578797578811645,18.075634002685547
29,30,28.5145169,76.9714914,6.538640022277832,-1.578797578811645,18.075634002685547
30,31,28.5145169,76.9714914,-2.65327525138855,-0.179896116256713,-13.246162414550781
31,32,28.5145169,76.9714914,-2.65327525138855,-0.179896116256713,-13.246162414550781
32,33,28.5145169,76.9714914,-2.65327525138855,-0.179896116256713,-13.246162414550781
33,34,28.5145169,76.9714914,-2.65327525138855,-0.179896116256713,-13.246162414550781
34,35,28.5145169,76.9714914,-6.511357307434082,0.575843334197998,-31.896099090576172
35,36,28.5145169,76.9714914,-6.511357307434082,0.575843334197998,-31.896099090576172
36,37,28.5145169,76.9714914,15.66572093963623,2.2329459190368652,46.10057067871094
37,38,28.5145169,76.9714914,-13.691753387451172,1.013593673706054,-34.80790710449219
38,39,28.5145169,76.9714914,-13.691753387451172,1.013593673706054,-34.80790710449219
39,40,28.5145169,76.9714914,21.268850326538086,2.390621185302734,54.468017578125
40,41,28.5145169,76.9714914,21.268850326538086,2.390621185302734,54.468017578125
41,42,28.5145169,76.9714914,-8.777727127075195,-7.129734992980957,-21.342960357666016
42,43,28.5145169,76.9714914,2.427438735961914,-2.994746685028076,6.019819259643555
43,44,28.5145169,76.9714914,2.427438735961914,-2.994746685028076,6.019819259643555
44,45,28.5145169,76.9714914,-11.18407154083252,0.9565329551696771,-27.768251419067383
45,46,28.5145169,76.9714914,20.621585845947266,4.080070972442627,42.36439895629883
46,47,28.5145169,76.9714914,20.621585845947266,4.080070972442627,42.36439895629883
47,48,28.5145169,76.9714914,20.621585845947266,4.080070972442627,42.36439895629883
48,49,28.5145169,76.9714914,-4.4697370529174805,-0.9674057960510251,-22.490928649902344
49,50,28.5145169,76.9714914,-2.079029083251953,-4.729680061340332,-2.695121765136718
50,51,28.5145169,76.9714914,-4.665067672729492,4.889393329620361,3.012779235839843
51,52,28.5145169,76.9714914,-6.394468307495117,2.90388560295105,-26.66602325439453
